term_str,nrc_anger,nrc_anticipation,nrc_disgust,nrc_fear,nrc_joy,nrc_negative,nrc_positive,nrc_sadness,nrc_surprise,nrc_trust
abandon,0,0,0,1,0,1,0,1,0,0
abandoned,1,0,0,1,0,1,0,1,0,0
abandonment,1,0,0,1,0,1,0,1,1,0
abduction,0,0,0,1,0,1,0,1,1,0
aberration,0,0,1,0,0,1,0,0,0,0
abhor,1,0,1,1,0,1,0,0,0,0
abhorrent,1,0,1,1,0,1,0,0,0,0
abject,0,0,1,0,0,1,0,0,0,0
abnormal,0,0,1,0,0,1,0,0,0,0
abolish,1,0,0,0,0,1,0,0,0,0
abominable,0,0,1,1,0,1,0,0,0,0
abomination,1,0,1,1,0,1,0,0,0,0
abortion,0,0,1,1,0,1,0,1,0,0
abortive,0,0,0,0,0,1,0,1,0,0
abscess,0,0,0,0,0,1,0,1,0,0
absence,0,0,0,1,0,1,0,1,0,0
absent,0,0,0,0,0,1,0,1,0,0
absentee,0,0,0,0,0,1,0,1,0,0
absolution,0,0,0,0,1,0,1,0,0,1
abundance,0,1,1,0,1,1,1,0,0,1
abundant,0,0,0,0,1,0,1,0,0,0
abuse,1,0,1,1,0,1,0,1,0,0
abysmal,0,0,0,0,0,1,0,1,0,0
abyss,0,0,0,1,0,1,0,1,0,0
academic,0,0,0,0,0,0,1,0,0,1
accident,0,0,0,1,0,1,0,1,1,0
accidental,0,0,0,1,0,1,0,0,1,0
accolade,0,1,0,0,1,0,1,0,1,1
accompaniment,0,1,0,0,1,0,1,0,0,1
accomplish,0,0,0,0,1,0,1,0,0,0
accomplished,0,0,0,0,1,0,1,0,0,0
accord,0,0,0,0,0,0,1,0,0,1
accountability,0,0,0,0,0,0,1,0,0,1
accountable,0,0,0,0,0,0,1,0,0,1
accredited,0,0,0,0,0,0,1,0,0,1
accurate,0,0,0,0,0,0,1,0,0,1
accursed,1,0,0,1,0,1,0,1,0,0
accusation,1,0,1,0,0,1,0,0,0,0
accused,1,0,0,1,0,1,0,0,0,0
accuser,1,0,0,1,0,1,0,0,0,0
