,id,speaker,date,title
0,RUe4UD0_b9Q,pence,2020-08-19T18:10:01Z,"WATCH: Vice President Pence in Darien, WI"
1,vfcqwDKwcJE,pence,2020-08-19T18:24:12Z,#US News Latest | #Pence delivers remarks on Biden’s policies toward workers | 19-08-20
2,CyIi8GYrknk,harris,2020-08-20T03:17:56Z,WATCH: Kamala Harris accepts nomination for Vice President
3,sNaWPhzCcoo,harris,2020-08-20T04:10:20Z,Kamala Harris accepts Democratic vice presidential nomination at 2020 Democratic National Convention
4,Z_2d4EqBNcU,harris,2020-08-20T05:06:05Z,Democratic National Convention 2020: Sen. Kamala Harris accepts VP nomination
5,otw4WOpK51A,harris,2020-08-20T10:57:41Z,Kamala Harris' full 2020 DNC speech | AFP
6,DUctjkieLM8,biden,2020-08-21T04:03:50Z,Joe #Biden accepts Democratic Presidential Nomination acceptance speech
7,B0PUMGkdabA,biden,2020-08-21T04:17:17Z,"Joe Biden Historical DNC speech - Hope , strength & Unity rises - Biden America's next President"
8,HZjwi39D7hY,biden,2020-08-21T06:56:57Z,Joe Biden speech: Wacth full speech as he officially accepts presidential nomination at DNC
9,2GC_iw5ySKs,biden,2020-08-21T06:59:52Z,Joe Biden  Full  Acceptance Speech
10,kii4mJ0wSXE,biden,2020-08-21T10:22:05Z,Joe Biden speech at the Democratic Convention 2020
11,eGoosymzHmE,biden,2020-08-21T11:45:24Z,JOE BIDEN ACCEPTANCE SPEECH AT THE 2020 DEMOCRATIC NATIONAL CONVENTION
12,UqW-_Hpx5ec,trump,2020-08-21T17:05:36Z,WATCH LIVE: President speaks at 2020 Council for National Policy Meeting
13,fTIP1QqftZc,trump,2020-08-21T17:17:59Z,US President Trump Delivers Speech at 2020 Council for National Policy Meeting
14,_mtFXn0g5sk,trump,2020-08-21T18:04:45Z,President Trump delivers remarks to the Council for National Policy
15,S-ziADbvAls,trump,2020-08-21T19:06:50Z,President Trump Delivers Remarks at the 2020 Council for National Policy Meeting
16,UBga6RZ5b-g,biden,2020-08-22T20:24:54Z,Joe Biden's speech at the Democratic Convention 2020
