,candidate,title,source,publishedAt
zaaTZkqsaxY,trump,AXIOS on HBO: President Trump Exclusive Interview (Full Episode) | HBO,HBO,2020-08-04T03:57:59Z
gQi_sJxTtKA,trump,President Donald Trump's Full Republican National Convention Speech | NBC10 Philadelphia,NBC10 Philadelphia,2020-08-28T22:42:26Z
RGualDMvwAo,trump,President Trump's Full RNC 2020 Speech | NowThis,NowThis News,2020-08-30T15:59:49Z
aEGm-ZXA6gM,biden,FULL VIDEO: Joe Biden delivers remarks on violence across America,Yahoo News,2020-08-31T18:11:49Z
lLsae1X4gx4,trump,"Jacob Blake protests: Trump announces funding for Kenosha police, businesses during visit | FULL",Global News,2020-09-01T19:54:33Z
QtwaCwcmNRY,Biden,Joe Biden speaks on COVID & its effect on schools LIVE in Wilmington | Joe Biden For President 2020,"Joe Biden Official YouTube Channel. Playlist: Livestreams, Speeches, and Debates",2020-09-02T17:22:34Z
H7yxH13SHTI,Biden,"Joe Biden Speaks on Donald Trump's America LIVE in Pittsburgh, Pennsylvania","Joe Biden Official YouTube Channel. Playlist: Livestreams, Speeches, and Debates",2020-08-31T18:27:48Z
T5pTdbSMcrI,Biden,Joe Biden Delivers Remarks On His “Build Back Better” Plan For An Equitable Clean Energy Future,"Joe Biden Official YouTube Channel. Playlist: Livestreams, Speeches, and Debates",2020-07-14T18:26:29Z
ZcR_kuCJvD8,Biden,Vice President Biden delivers remarks on Trump’s failure to protect the American people,"Joe Biden Official YouTube Channel. Playlist: Livestreams, Speeches, and Debates",2020-07-06T01:36:43Z
m_lYduRUumA,Biden,Vice President Biden's Remarks at Global Pride | Joe Biden For President,"Joe Biden Official YouTube Channel. Playlist: Livestreams, Speeches, and Debates",2020-06-29T19:45:09Z
yy6jBRVDcpI,Biden,Vice President Biden Delivers Remarks On Having a Safer Economic Reopening,"Joe Biden Official YouTube Channel. Playlist: Livestreams, Speeches, and Debates",2020-06-21T01:53:05Z
-VB24DMVUwY,Biden,Join Vice President Biden for A Town Hall with Young Americans | Joe Biden For President,"Joe Biden Official YouTube Channel. Playlist: Livestreams, Speeches, and Debates",2020-06-05T03:13:42Z
VYqEo1ehYII,Biden,Joe Biden Addresses the Unfolding Situation in Minnesota and the Killing of George Floyd,"Joe Biden Official YouTube Channel. Playlist: Livestreams, Speeches, and Debates",2020-06-02T22:28:33Z
b2aWDG87nJo,Biden,Joe Biden Addresses the Nation On the Civil Unrest Facing Communities Across America,"Joe Biden Official YouTube Channel. Playlist: Livestreams, Speeches, and Debates",2020-06-02T22:23:53Z
0VpB4tllFkk,Biden,Virtual Roundtable with Mayors From Across the Country | Joe Biden for President,"Joe Biden Official YouTube Channel. Playlist: Livestreams, Speeches, and Debates",2020-06-01T18:15:57Z
nEE8XmPqkH4,Biden,Join Vice President Biden for a virtual rally in Wisconsin | Joe Biden For President,"Joe Biden Official YouTube Channel. Playlist: Livestreams, Speeches, and Debates",2020-05-21T00:46:20Z
uJr0dEjSkHE,Biden,"Virtual Roundtable on COVID-19 with Governors Gretchen Whitmer, Phil Murphy & Ned Lamont","Joe Biden Official YouTube Channel. Playlist: Livestreams, Speeches, and Debates",2020-05-21T00:45:48Z
Z0Asi6UAUG8,Biden,We Need An Independent Non-Partisan Inspector General  | Joe Biden For President,"Joe Biden Official YouTube Channel. Playlist: Livestreams, Speeches, and Debates",2020-05-11T14:47:00Z
7S4hdImZXdw,Biden,"Join Vice President Biden For A Virtual Rally in Tampa, FL | Joe Biden For President","Joe Biden Official YouTube Channel. Playlist: Livestreams, Speeches, and Debates",2020-05-08T11:30:35Z
C5583GLr__Y,Biden,A Todos con Biden moderated discussion with labor leader Dolores Huerta and  actor John Leguizamo,"Joe Biden Official YouTube Channel. Playlist: Livestreams, Speeches, and Debates",2020-05-03T23:10:04Z
Bc3wdOPWPLs,Biden,Women's Town Hall on COVID-19 ft. Hillary Clinton  | Joe Biden For President,"Joe Biden Official YouTube Channel. Playlist: Livestreams, Speeches, and Debates",2020-04-28T20:32:29Z
sn1hWHUwvn4,Biden,Virtual Town Hall with Vice President Biden on Unemployment and Issues Facing Working Families,"Joe Biden Official YouTube Channel. Playlist: Livestreams, Speeches, and Debates",2020-04-28T19:29:45Z
E1XUeJA0-f0,Biden,Livestream: @Bernie Sanders Endorses Joe Biden to Defeat Donald Trump,"Joe Biden Official YouTube Channel. Playlist: Livestreams, Speeches, and Debates",2020-04-28T19:29:14Z
1lbMK2CG63k,Biden,Confronting Coronavirus: Addressing Impacts & Disparities in the Black Community ft. Senator Harris,"Joe Biden Official YouTube Channel. Playlist: Livestreams, Speeches, and Debates",2020-04-28T19:23:28Z
EkHIsiqkL8I,Biden,LGBTQ+ Social Hour ft. Jill Biden with Special Guests Cyndi Lauper and VA Delegate Danica Roem,"Joe Biden Official YouTube Channel. Playlist: Livestreams, Speeches, and Debates",2020-04-28T19:23:13Z
0oX8uWNAgKs,Biden,S.O.U.L Saturday Rally | Joe Biden For President,"Joe Biden Official YouTube Channel. Playlist: Livestreams, Speeches, and Debates",2020-04-27T14:24:13Z
9y5bdQ3r-Qc,Biden,A Virtual Climate Change Town Hall with Special Guest Al Gore | Joe Biden For President,"Joe Biden Official YouTube Channel. Playlist: Livestreams, Speeches, and Debates",2020-04-25T04:24:53Z
GXuEUeCH8hg,Biden,Unemployment Town Hall on COVID-19 with Symone Sanders and Tony Goldwyn | Joe Biden For President,"Joe Biden Official YouTube Channel. Playlist: Livestreams, Speeches, and Debates",2020-04-25T04:24:22Z
aVzLyQ1_Sm4,Biden,Biden Brunch Live: Updates from the Biden Organizing Team! | Joe Biden For President,"Joe Biden Official YouTube Channel. Playlist: Livestreams, Speeches, and Debates",2020-04-25T04:23:50Z
iIB4zpW6-Q0,Biden,A Students For Biden Virtual Town Hall Featuring Fred Guttenberg | Joe Biden For President,"Joe Biden Official YouTube Channel. Playlist: Livestreams, Speeches, and Debates",2020-04-20T16:40:09Z
GdpV6_UVK5k,Biden,Join Our Virtual Town Hall With VP Joe Biden And Coronavirus Crisis Front Line Workers,"Joe Biden Official YouTube Channel. Playlist: Livestreams, Speeches, and Debates",2020-04-15T14:57:15Z
4PEkEc1ZFBs,Biden,Joe Biden Delivers Remarks on Implementation & Oversight of CARES Act | Joe Biden For President,"Joe Biden Official YouTube Channel. Playlist: Livestreams, Speeches, and Debates",2020-04-03T15:26:15Z
lnG13ft9BeI,Biden,Tune in: A Frontlines Round Table With Vice President Biden | Joe Biden For President,"Joe Biden Official YouTube Channel. Playlist: Livestreams, Speeches, and Debates",2020-03-31T14:40:10Z
3TFqeMSsTx0,Biden,Happy Hour with Joe Biden: A virtual round table on the issues Young Americans care about.,"Joe Biden Official YouTube Channel. Playlist: Livestreams, Speeches, and Debates",2020-03-26T17:37:57Z
JfBVHeZkVFs,Biden,Joe Biden delivers remarks on the impact of the Coronavirus on Young Americans. Tune in:,"Joe Biden Official YouTube Channel. Playlist: Livestreams, Speeches, and Debates",2020-03-25T22:32:13Z
QxhsV_6dWVs,Biden,Illinois Virtual Town Hall | Joe Biden For President,"Joe Biden Official YouTube Channel. Playlist: Livestreams, Speeches, and Debates",2020-03-14T03:29:54Z
-8KiohxTJ0Y,Biden,I'm about to take the stage from California. Tune in to watch live:,"Joe Biden Official YouTube Channel. Playlist: Livestreams, Speeches, and Debates",2020-03-11T21:17:42Z
l1-6cwetV5k,Biden,I'm about to take the stage from Missouri. Tune in to watch live:,"Joe Biden Official YouTube Channel. Playlist: Livestreams, Speeches, and Debates",2020-03-11T21:17:31Z
LXqI5QFNiP8,Biden,I'm about to take the stage from Mississippi. Tune in to watch live:,"Joe Biden Official YouTube Channel. Playlist: Livestreams, Speeches, and Debates",2020-03-11T21:17:26Z
NdWlxDtt8Qk,Biden,I'm about to take the stage from Philadelphia. Tune in to watch live:,"Joe Biden Official YouTube Channel. Playlist: Livestreams, Speeches, and Debates",2020-03-11T21:17:20Z
AzrkZp0RxI8,Biden,I'm about to take the stage from Nevada. Tune in to watch live:,"Joe Biden Official YouTube Channel. Playlist: Livestreams, Speeches, and Debates",2020-03-02T23:12:38Z
rUbJ4jhFF7g,Biden,I'm about to take the stage from South Carolina. Tune in to watch live:,"Joe Biden Official YouTube Channel. Playlist: Livestreams, Speeches, and Debates",2020-03-02T23:12:07Z
